,Unnamed: 0,ID,Season,Fixture,MatchDay,Date,Time,Home Team,Away Team,Refree,Yellow Home,Yellow Away,2nd Yellow Home,2nd Yellow Away,Red Home,Red Away,Half Time Result,Full Time Result,Home Goals,Away Goals,Winner
313,313,553,2013,Ghazl Mahalla x El Raja Marsa Matruh,4,"Thu, Jan 9, 2014",1:00 PM,Ghazl Mahalla,El Raja Marsa Matruh,Mahmoud El Sharkawi,1,5,0,0,0,0,1:0 ,4:1,4,1,Home
314,314,554,2013,El Gouna FC x Smouha SC,4,"Thu, Jan 9, 2014",1:00 PM,El Gouna FC,Smouha SC,El Gouna Ground,1,4,0,0,0,0,0:0 ,0:1,0,1,Away
315,315,555,2013,Wadi Degla FC x Petrojet,4,"Thu, Jan 9, 2014",1:00 PM,Wadi Degla FC,Petrojet,tbc,2,1,1,0,0,0,0:2 ,0:2,0,2,Away
316,316,556,2013,El Ahly Cairo x Enppi Club,4,"Thu, Jan 9, 2014",4:00 PM,El Ahly Cairo,Enppi Club,Mohamed Farouk,1,0,0,0,0,0,0:0 ,1:0,1,0,Home
317,317,557,2013,Arab Contractors SC x Ghazl Mahalla,5,"Sat, Jan 18, 2014",1:00 PM,Arab Contractors SC,Ghazl Mahalla,Hossam El Gallad,1,1,0,0,0,0,2:0 ,4:0,4,0,Home
318,318,558,2013,Enppi Club x El Gouna FC,5,"Sat, Jan 18, 2014",1:00 PM,Enppi Club,El Gouna FC,Mohamed Adel,2,2,0,0,0,0,1:0 ,1:0,1,0,Home
319,319,559,2013,El Dakhlia SC x Entag El Harby,5,"Sat, Jan 18, 2014",1:00 PM,El Dakhlia SC,Entag El Harby,Nader Kamar,3,3,0,0,0,0,0:1 ,2:2,2,2,Draw
320,320,560,2013,El Raja Marsa Matruh x El Ahly Cairo,5,"Sat, Jan 18, 2014",4:00 PM,El Raja Marsa Matruh,El Ahly Cairo,Ahmed El Sayed,2,1,0,0,0,0,0:1 ,0:3,0,3,Away
321,321,561,2013,Smouha SC x Masr El Makasa,5,"Sun, Jan 19, 2014",1:00 PM,Smouha SC,Masr El Makasa,Tarek Magdi,1,1,0,0,0,0,0:1 ,2:1,2,1,Home
322,322,562,2013,El Shorta x Tala'ea El Gaish,5,"Sun, Jan 19, 2014",1:00 PM,El Shorta,Tala'ea El Gaish,Ibrahim Nour Eldin,0,1,0,0,0,0,0:0 ,0:0,0,0,Draw
323,323,563,2013,Telefonat Beni Suef x El Minya FC,5,"Sun, Jan 19, 2014",1:00 PM,Telefonat Beni Suef,El Minya FC,Ahmed El Dalil,1,5,0,0,0,0,0:0 ,2:1,2,1,Home
324,324,564,2013,Qanah FC x Petrojet,5,"Sun, Jan 19, 2014",1:00 PM,Qanah FC,Petrojet,tbc,2,3,0,0,0,0,0:0 ,1:0,1,0,Home
325,325,565,2013,Zamalek SC x Harras El Hodoud,5,"Sun, Jan 19, 2014",4:00 PM,Zamalek SC,Harras El Hodoud,Mohamed Hanafy,1,1,0,0,0,0,1:0 ,0:2,0,2,Away
326,326,566,2013,Masry Port Said x Ismaily SC,5,"Mon, Jan 20, 2014",1:00 PM,Masry Port Said,Ismaily SC,Mahmoud Ashour,2,2,0,0,0,0,0:0 ,0:2,0,2,Away
327,327,567,2013,Petrojet x Telefonat Beni Suef,6,"Tue, Jan 28, 2014",1:30 PM,Petrojet,Telefonat Beni Suef,Ahmed Ali Saleh,2,3,0,1,0,0,0:0 ,2:0,2,0,Home
328,328,568,2013,El Minya FC x Zamalek SC,6,"Wed, Jan 29, 2014",1:30 PM,El Minya FC,Zamalek SC,Amr Ayed,3,0,0,0,0,0,0:0 ,0:1,0,1,Away
329,329,569,2013,Tala'ea El Gaish x Masry Port Said,6,"Wed, Jan 29, 2014",1:30 PM,Tala'ea El Gaish,Masry Port Said,Mohamed Hanafy,3,2,0,0,0,0,0:1 ,0:2,0,2,Away
330,330,570,2013,Harras El Hodoud x El Shorta,6,"Wed, Jan 29, 2014",1:30 PM,Harras El Hodoud,El Shorta,Amin Omar,0,1,0,0,0,0,1:0 ,1:0,1,0,Home
331,331,571,2013,El Gouna FC x El Raja Marsa Matruh,6,"Wed, Jan 29, 2014",1:30 PM,El Gouna FC,El Raja Marsa Matruh,Gehad Grisha,2,1,0,0,0,0,0:1 ,0:2,0,2,Away
332,332,572,2013,Wadi Degla FC x Qanah FC,6,"Wed, Jan 29, 2014",4:00 PM,Wadi Degla FC,Qanah FC,Abdelaziz El Sayed,3,4,0,0,0,0,0:1 ,1:1,1,1,Draw
333,333,573,2013,Entag El Harby x Smouha SC,6,"Thu, Jan 30, 2014",1:30 PM,Entag El Harby,Smouha SC,Ahmed El Ghandour,2,3,0,0,0,0,1:0 ,1:2,1,2,Away
334,334,574,2013,Masr El Makasa x Enppi Club,6,"Thu, Jan 30, 2014",1:30 PM,Masr El Makasa,Enppi Club,Sherif Rashwan,1,1,0,0,0,0,0:0 ,0:0,0,0,Draw
335,335,575,2013,Ittehad Alexandria x El Dakhlia SC,6,"Thu, Jan 30, 2014",1:30 PM,Ittehad Alexandria,El Dakhlia SC,Sayed Shalaby,2,4,0,0,0,0,0:0 ,0:0,0,0,Draw
336,336,576,2013,Arab Contractors SC x El Ahly Cairo,6,"Thu, Jan 30, 2014",4:00 PM,Arab Contractors SC,El Ahly Cairo,Mahmoud El Banna,2,0,0,0,0,1,1:1 ,2:1,2,1,Home
337,337,577,2013,El Shorta x El Minya FC,7,"Sun, Feb 2, 2014",1:30 PM,El Shorta,El Minya FC,tbc,2,4,0,1,0,0,1:1 ,2:2,2,2,Draw
338,338,578,2013,Ismaily SC x Wadi Degla FC,7,"Sun, Feb 2, 2014",1:30 PM,Ismaily SC,Wadi Degla FC,Mohamed Adel,1,1,0,0,0,0,1:2 ,1:2,1,2,Away
339,339,579,2013,Telefonat Beni Suef x Qanah FC,7,"Sun, Feb 2, 2014",1:30 PM,Telefonat Beni Suef,Qanah FC,Tarek Samy,0,1,0,0,0,0,0:0 ,0:0,0,0,Draw
340,340,580,2013,Masry Port Said x Harras El Hodoud,7,"Sun, Feb 2, 2014",1:30 PM,Masry Port Said,Harras El Hodoud,Tarek Magdi,2,1,0,0,0,0,0:0 ,1:0,1,0,Home
341,341,581,2013,Zamalek SC x Petrojet,7,"Sun, Feb 2, 2014",4:00 PM,Zamalek SC,Petrojet,Mohamed Farouk,2,3,0,1,1,0,1:1 ,2:2,2,2,Draw
342,342,582,2013,Arab Contractors SC x El Gouna FC,7,"Mon, Feb 3, 2014",1:30 PM,Arab Contractors SC,El Gouna FC,Mohamed Hassan,2,4,0,0,0,0,1:1 ,3:1,3,1,Home
343,343,583,2013,El Raja Marsa Matruh x Masr El Makasa,7,"Mon, Feb 3, 2014",1:30 PM,El Raja Marsa Matruh,Masr El Makasa,Mohamed Ali Shata,3,4,0,0,0,0,0:0 ,0:0,0,0,Draw
344,344,584,2013,Ghazl Mahalla x Ittehad Alexandria,7,"Mon, Feb 3, 2014",1:30 PM,Ghazl Mahalla,Ittehad Alexandria,Mahmoud Ashour,1,1,0,0,0,0,1:2 ,1:2,1,2,Away
345,345,585,2013,Enppi Club x Entag El Harby,7,"Tue, Feb 4, 2014",4:00 PM,Enppi Club,Entag El Harby,Walid Abdelrazak,2,3,0,0,0,0,0:0 ,0:0,0,0,Draw
346,346,586,2013,Smouha SC x El Dakhlia SC,7,"Thu, Feb 27, 2014",1:30 PM,Smouha SC,El Dakhlia SC,Mohamed Hanafy,2,4,0,0,0,0,1:0 ,2:0,2,0,Home
347,347,587,2013,Wadi Degla FC x Telefonat Beni Suef,8,"Wed, Feb 5, 2014",1:30 PM,Wadi Degla FC,Telefonat Beni Suef,tbc,0,1,0,0,0,0,1:0 ,1:0,1,0,Home
348,348,588,2013,Tala'ea El Gaish x Ismaily SC,8,"Wed, Feb 5, 2014",1:30 PM,Tala'ea El Gaish,Ismaily SC,Mohamed Farouk,2,3,0,0,0,0,1:0 ,1:1,1,1,Draw
349,349,589,2013,Qanah FC x Zamalek SC,8,"Wed, Feb 5, 2014",4:00 PM,Qanah FC,Zamalek SC,Sherif Rashwan,3,1,0,0,0,0,0:1 ,0:4,0,4,Away
350,350,590,2013,Ittehad Alexandria x Smouha SC,8,"Thu, Feb 6, 2014",1:30 PM,Ittehad Alexandria,Smouha SC,Mohamed Sabahi,5,2,0,0,0,0,0:0 ,1:1,1,1,Draw
351,351,591,2013,Masr El Makasa x Arab Contractors SC,8,"Thu, Feb 6, 2014",1:30 PM,Masr El Makasa,Arab Contractors SC,Mahmoud Bassiouni,1,1,0,1,0,0,0:0 ,0:0,0,0,Draw
352,352,592,2013,Petrojet x El Shorta,8,"Thu, Feb 6, 2014",1:30 PM,Petrojet,El Shorta,Hossam El Gallad,2,0,0,0,0,0,0:0 ,1:0,1,0,Home
353,353,593,2013,El Ahly Cairo x Ghazl Mahalla,8,"Thu, Feb 6, 2014",4:00 PM,El Ahly Cairo,Ghazl Mahalla,Ibrahim Nour Eldin,5,3,0,2,1,0,0:0 ,1:0,1,0,Home
354,354,594,2013,El Dakhlia SC x Enppi Club,8,"Sat, Feb 8, 2014",1:30 PM,El Dakhlia SC,Enppi Club,Walid Abdelrazak,1,2,0,0,0,0,0:0 ,0:0,0,0,Draw
355,355,595,2013,Entag El Harby x El Raja Marsa Matruh,8,"Sat, Feb 8, 2014",1:30 PM,Entag El Harby,El Raja Marsa Matruh,Abdelaziz El Sayed,2,1,0,0,0,0,1:0 ,2:1,2,1,Home
356,356,596,2013,El Minya FC x Masry Port Said,8,"Sat, Feb 8, 2014",1:30 PM,El Minya FC,Masry Port Said,tbc,2,2,0,0,0,0,1:1 ,1:2,1,2,Away
357,357,597,2013,El Ahly Cairo x Ittehad Alexandria,9,"Tue, Feb 11, 2014",4:00 PM,El Ahly Cairo,Ittehad Alexandria,Mohamed Farouk,3,1,0,0,0,0,0:0 ,0:0,0,0,Draw
358,358,598,2013,Arab Contractors SC x Entag El Harby,9,"Wed, Feb 12, 2014",1:30 PM,Arab Contractors SC,Entag El Harby,Sayed Shalaby,3,5,0,1,0,0,1:0 ,1:1,1,1,Draw
359,359,599,2013,El Raja Marsa Matruh x El Dakhlia SC,9,"Wed, Feb 12, 2014",1:30 PM,El Raja Marsa Matruh,El Dakhlia SC,Mahmoud Ashour,2,1,0,0,0,0,0:0 ,1:0,1,0,Home
360,360,600,2013,Enppi Club x Smouha SC,9,"Wed, Feb 12, 2014",1:30 PM,Enppi Club,Smouha SC,Ahmed El Sayed,1,3,0,0,0,0,0:0 ,1:2,1,2,Away
361,361,601,2013,Masry Port Said x Petrojet,9,"Thu, Feb 13, 2014",1:30 PM,Masry Port Said,Petrojet,Amin Omar,1,1,1,0,0,0,0:0 ,0:1,0,1,Away
362,362,602,2013,El Shorta x Qanah FC,9,"Thu, Feb 13, 2014",1:30 PM,El Shorta,Qanah FC,Hesham Abdelhamid,2,2,0,0,0,0,2:0 ,2:1,2,1,Home
363,363,603,2013,Tala'ea El Gaish x Wadi Degla FC,9,"Thu, Feb 13, 2014",1:30 PM,Tala'ea El Gaish,Wadi Degla FC,Gehad Grisha,1,2,0,0,1,0,1:0 ,2:4,2,4,Away
364,364,604,2013,Ismaily SC x Harras El Hodoud,9,"Thu, Feb 13, 2014",4:00 PM,Ismaily SC,Harras El Hodoud,Mohamed Hanafy,3,3,0,1,0,0,0:0 ,0:0,0,0,Draw
365,365,605,2013,Ghazl Mahalla x El Gouna FC,9,"Thu, Feb 20, 2014",1:30 PM,Ghazl Mahalla,El Gouna FC,tbc,3,2,0,0,0,0,0:0 ,1:0,1,0,Home
366,366,606,2013,Zamalek SC x Telefonat Beni Suef,9,"Wed, Mar 12, 2014",4:30 PM,Zamalek SC,Telefonat Beni Suef,Mohamed Maarouf,1,4,0,0,0,0,0:0 ,0:0,0,0,Draw
367,367,607,2013,Masr El Makasa x Ghazl Mahalla,10,"Sat, Feb 15, 2014",1:30 PM,Masr El Makasa,Ghazl Mahalla,Walid Abdelrazak,0,0,0,0,0,0,0:0 ,0:0,0,0,Draw
368,368,608,2013,El Gouna FC x El Ahly Cairo,10,"Sat, Feb 15, 2014",1:30 PM,El Gouna FC,El Ahly Cairo,Sherif Rashwan,4,2,0,0,0,0,0:0 ,1:0,1,0,Home
369,369,609,2013,El Dakhlia SC x Arab Contractors SC,10,"Sun, Feb 16, 2014",1:30 PM,El Dakhlia SC,Arab Contractors SC,Ibrahim Nour Eldin,3,4,0,0,0,0,0:1 ,1:1,1,1,Draw
370,370,610,2013,Smouha SC x El Raja Marsa Matruh,10,"Sun, Feb 16, 2014",1:30 PM,Smouha SC,El Raja Marsa Matruh,Amr Ayed,1,1,0,0,0,1,1:0 ,2:0,2,0,Home
371,371,611,2013,Ittehad Alexandria x Enppi Club,10,"Mon, Feb 17, 2014",1:30 PM,Ittehad Alexandria,Enppi Club,Mohamed Adel,3,1,0,0,0,0,0:0 ,2:1,2,1,Home
372,372,612,2013,Qanah FC x Masry Port Said,10,"Wed, Feb 19, 2014",1:30 PM,Qanah FC,Masry Port Said,Mahmoud El Banna,1,1,0,0,0,0,0:1 ,1:1,1,1,Draw
373,373,613,2013,Telefonat Beni Suef x El Shorta,10,"Wed, Feb 19, 2014",1:30 PM,Telefonat Beni Suef,El Shorta,Raouf El Houshy,1,0,0,0,0,0,0:0 ,0:0,0,0,Draw
374,374,614,2013,Harras El Hodoud x Tala'ea El Gaish,10,"Wed, Feb 19, 2014",4:00 PM,Harras El Hodoud,Tala'ea El Gaish,Mahmoud Ashour,2,4,0,0,0,0,0:0 ,1:0,1,0,Home
375,375,615,2013,Ismaily SC x El Minya FC,10,"Wed, Feb 19, 2014",4:00 PM,Ismaily SC,El Minya FC,Mohamed Sabahi,1,2,0,0,1,0,0:1 ,1:1,1,1,Draw
376,376,616,2013,Wadi Degla FC x Zamalek SC,10,"Wed, Apr 9, 2014",6:00 PM,Wadi Degla FC,Zamalek SC,Ibrahim Nour Eldin,3,3,0,0,0,0,1:1 ,2:3,2,3,Away
377,377,617,2013,Arab Contractors SC x Smouha SC,11,"Sat, Feb 22, 2014",1:30 PM,Arab Contractors SC,Smouha SC,Tarek Magdi,2,2,0,1,0,0,0:0 ,0:1,0,1,Away
378,378,618,2013,El Raja Marsa Matruh x Enppi Club,11,"Sun, Feb 23, 2014",1:30 PM,El Raja Marsa Matruh,Enppi Club,Fahim Omar,3,3,1,0,0,0,2:1 ,2:2,2,2,Draw
379,379,619,2013,Ismaily SC x Petrojet,11,"Mon, Feb 24, 2014",1:30 PM,Ismaily SC,Petrojet,Sherif Rashwan,2,2,0,0,0,0,0:0 ,1:0,1,0,Home
380,380,620,2013,Ghazl Mahalla x Entag El Harby,11,"Mon, Feb 24, 2014",1:30 PM,Ghazl Mahalla,Entag El Harby,Mohamed Maarouf,3,5,0,0,0,0,0:0 ,1:0,1,0,Home
381,381,621,2013,Ittehad Alexandria x El Gouna FC,11,"Mon, Feb 24, 2014",1:30 PM,Ittehad Alexandria,El Gouna FC,Ashraf Rashad,2,3,0,0,0,0,1:0 ,1:0,1,0,Home
382,382,622,2013,Wadi Degla FC x Harras El Hodoud,11,"Mon, Feb 24, 2014",1:30 PM,Wadi Degla FC,Harras El Hodoud,Nader Kamar,2,3,0,0,0,0,0:1 ,0:1,0,1,Away
383,383,623,2013,El Shorta x Zamalek SC,11,"Mon, Feb 24, 2014",4:00 PM,El Shorta,Zamalek SC,Mahmoud El Banna,2,3,0,0,0,0,0:0 ,1:1,1,1,Draw
384,384,624,2013,Masry Port Said x Telefonat Beni Suef,11,"Tue, Feb 25, 2014",1:30 PM,Masry Port Said,Telefonat Beni Suef,Mohamed Ali Shata,2,2,0,0,0,0,2:0 ,3:3,3,3,Draw
385,385,625,2013,Tala'ea El Gaish x El Minya FC,11,"Tue, Feb 25, 2014",1:30 PM,Tala'ea El Gaish,El Minya FC,Samir Osman,2,1,0,0,0,0,1:0 ,3:0,3,0,Home
386,386,626,2013,El Ahly Cairo x Masr El Makasa,11,"Sun, Apr 6, 2014",6:00 PM,El Ahly Cairo,Masr El Makasa,Mahmoud Ashour,1,2,0,0,0,0,1:0 ,4:1,4,1,Home
387,387,627,2013,Ghazl Mahalla x El Dakhlia SC,12,"Sun, Mar 9, 2014",2:00 PM,Ghazl Mahalla,El Dakhlia SC,Hesham Abdelhamid,3,4,0,0,0,0,0:0 ,0:0,0,0,Draw
388,388,628,2013,Ittehad Alexandria x El Raja Marsa Matruh,12,"Mon, Mar 10, 2014",2:00 PM,Ittehad Alexandria,El Raja Marsa Matruh,Mahmoud El Banna,1,1,0,0,0,0,0:0 ,1:0,1,0,Home
389,389,629,2013,Arab Contractors SC x Enppi Club,12,"Mon, Mar 10, 2014",2:00 PM,Arab Contractors SC,Enppi Club,Mohamed Farouk,1,1,0,0,0,0,0:0 ,1:0,1,0,Home
390,390,630,2013,Tala'ea El Gaish x Petrojet,12,"Mon, Mar 10, 2014",4:30 PM,Tala'ea El Gaish,Petrojet,Mohamed Ali Shata,2,2,0,0,0,0,0:0 ,0:0,0,0,Draw
391,391,631,2013,Wadi Degla FC x El Shorta,12,"Thu, Mar 13, 2014",2:00 PM,Wadi Degla FC,El Shorta,Rafaat El Asklany,1,3,0,0,0,0,0:0 ,0:0,0,0,Draw
392,392,632,2013,Ismaily SC x Qanah FC,12,"Thu, Mar 13, 2014",2:00 PM,Ismaily SC,Qanah FC,Ibrahim Nour Eldin,2,1,0,0,0,0,0:0 ,0:1,0,1,Away
393,393,633,2013,El Ahly Cairo x Entag El Harby,12,"Thu, Mar 13, 2014",4:30 PM,El Ahly Cairo,Entag El Harby,Mahmoud Ashour,0,3,0,1,0,0,1:1 ,3:1,3,1,Home
394,394,634,2013,Masry Port Said x Zamalek SC,12,"Mon, Mar 17, 2014",2:00 PM,Masry Port Said,Zamalek SC,Gehad Grisha,2,4,0,1,0,0,1:0 ,1:0,1,0,Home
395,395,635,2013,El Gouna FC x Masr El Makasa,12,"Sat, Mar 22, 2014",2:00 PM,El Gouna FC,Masr El Makasa,Nader Kamar,3,2,0,0,0,0,2:0 ,2:1,2,1,Home
396,396,636,2013,Petrojet x Harras El Hodoud,13,"Sat, Mar 15, 2014",2:00 PM,Petrojet,Harras El Hodoud,Fahim Omar,5,1,0,0,0,0,0:0 ,1:1,1,1,Draw
397,397,637,2013,Masr El Makasa x Ittehad Alexandria,13,"Sat, Mar 15, 2014",2:00 PM,Masr El Makasa,Ittehad Alexandria,Samir Osman,5,3,0,0,0,0,1:0 ,2:1,2,1,Home
398,398,638,2013,Smouha SC x Ghazl Mahalla,13,"Sat, Mar 15, 2014",2:00 PM,Smouha SC,Ghazl Mahalla,Tarek Samy,0,1,0,0,0,0,0:0 ,0:0,0,0,Draw
399,399,639,2013,El Minya FC x Wadi Degla FC,13,"Sun, Mar 16, 2014",2:00 PM,El Minya FC,Wadi Degla FC,Said Hamza,2,1,1,0,0,1,0:1 ,1:3,1,3,Away
400,400,640,2013,El Raja Marsa Matruh x Arab Contractors SC,13,"Sun, Mar 16, 2014",2:00 PM,El Raja Marsa Matruh,Arab Contractors SC,Ahmed El Ghandour,1,3,0,0,0,0,1:1 ,2:2,2,2,Draw
401,401,641,2013,Qanah FC x Tala'ea El Gaish,13,"Mon, Mar 17, 2014",2:00 PM,Qanah FC,Tala'ea El Gaish,Tarek Magdi,5,1,0,0,0,0,0:0 ,1:1,1,1,Draw
402,402,642,2013,Entag El Harby x El Gouna FC,13,"Mon, Mar 17, 2014",2:00 PM,Entag El Harby,El Gouna FC,Ahmed El Adawi,4,4,0,0,0,0,0:0 ,2:2,2,2,Draw
403,403,643,2013,El Dakhlia SC x El Ahly Cairo,13,"Mon, Mar 17, 2014",6:00 PM,El Dakhlia SC,El Ahly Cairo,Hossam El Gallad,0,0,0,0,0,0,1:0 ,1:0,1,0,Home
404,404,644,2013,Telefonat Beni Suef x Ismaily SC,13,"Tue, Mar 18, 2014",2:00 PM,Telefonat Beni Suef,Ismaily SC,Ahmed El Sayed,2,4,0,1,0,0,0:1 ,1:1,1,1,Draw
405,405,645,2013,El Shorta x Masry Port Said,13,"Tue, Mar 25, 2014",2:00 PM,El Shorta,Masry Port Said,Mohamed Sabahi,5,4,0,0,0,0,1:0 ,1:0,1,0,Home
406,406,646,2013,Ghazl Mahalla x Enppi Club,14,"Mon, Mar 24, 2014",2:00 PM,Ghazl Mahalla,Enppi Club,Mahmoud Bassiouni,1,1,0,0,0,0,0:1 ,1:1,1,1,Draw
407,407,647,2013,Ittehad Alexandria x Arab Contractors SC,14,"Mon, Mar 24, 2014",2:00 PM,Ittehad Alexandria,Arab Contractors SC,Gehad Grisha,1,0,0,0,0,0,1:0 ,1:1,1,1,Draw
408,408,648,2013,Tala'ea El Gaish x Telefonat Beni Suef,14,"Tue, Mar 25, 2014",2:00 PM,Tala'ea El Gaish,Telefonat Beni Suef,Sherif Rashwan,3,2,0,0,0,0,1:0 ,3:0,3,0,Home
409,409,649,2013,Harras El Hodoud x Qanah FC,14,"Tue, Mar 25, 2014",2:00 PM,Harras El Hodoud,Qanah FC,Mohamed Adel,2,0,0,0,0,0,1:0 ,1:0,1,0,Home
410,410,650,2013,El Minya FC x Petrojet,14,"Tue, Mar 25, 2014",2:00 PM,El Minya FC,Petrojet,Awad Saafan,2,3,0,0,0,0,1:1 ,1:2,1,2,Away
411,411,651,2013,El Gouna FC x El Dakhlia SC,14,"Thu, Mar 27, 2014",2:00 PM,El Gouna FC,El Dakhlia SC,Mahmoud El Banna,0,1,0,0,0,0,0:0 ,0:0,0,0,Draw
412,412,652,2013,Masr El Makasa x Entag El Harby,14,"Thu, Mar 27, 2014",2:00 PM,Masr El Makasa,Entag El Harby,tbc,2,3,0,0,0,0,1:1 ,2:2,2,2,Draw
413,413,653,2013,Wadi Degla FC x Masry Port Said,14,"Thu, May 1, 2014",4:00 PM,Wadi Degla FC,Masry Port Said,Ahmed El Adawi,5,2,1,0,0,0,1:0 ,2:1,2,1,Home
414,414,654,2013,Ismaily SC x Zamalek SC,14,"Thu, May 1, 2014",7:00 PM,Ismaily SC,Zamalek SC,Gehad Grisha,3,3,0,0,0,0,0:0 ,1:0,1,0,Home
415,415,655,2013,El Ahly Cairo x Smouha SC,14,"Sat, May 3, 2014",7:00 PM,El Ahly Cairo,Smouha SC,Ibrahim Nour Eldin,3,2,0,0,0,0,0:1 ,1:1,1,1,Draw
416,416,656,2013,Telefonat Beni Suef x Harras El Hodoud,15,"Tue, Apr 1, 2014",3:30 PM,Telefonat Beni Suef,Harras El Hodoud,tbc,4,1,1,0,0,0,1:0 ,1:0,1,0,Home
417,417,657,2013,El Dakhlia SC x Masr El Makasa,15,"Tue, Apr 1, 2014",3:30 PM,El Dakhlia SC,Masr El Makasa,tbc,0,0,0,0,0,0,0:0 ,0:1,0,1,Away
418,418,658,2013,Qanah FC x El Minya FC,15,"Tue, Apr 1, 2014",3:30 PM,Qanah FC,El Minya FC,Medhat El Houfy,2,2,0,0,0,0,0:0 ,2:0,2,0,Home
419,419,659,2013,El Raja Marsa Matruh x Ghazl Mahalla,15,"Tue, Apr 1, 2014",3:30 PM,El Raja Marsa Matruh,Ghazl Mahalla,Mohamed Hanafy,1,2,0,0,0,0,0:0 ,0:0,0,0,Draw
420,420,660,2013,Entag El Harby x Ittehad Alexandria,15,"Tue, Apr 1, 2014",6:00 PM,Entag El Harby,Ittehad Alexandria,Raouf El Houshy,2,1,0,0,1,0,0:0 ,0:0,0,0,Draw
421,421,661,2013,Smouha SC x El Gouna FC,15,"Wed, Apr 2, 2014",3:30 PM,Smouha SC,El Gouna FC,Mohamed Maarouf,0,3,0,0,0,0,0:1 ,0:3,0,3,Away
422,422,662,2013,Enppi Club x El Ahly Cairo,15,"Wed, Apr 2, 2014",6:00 PM,Enppi Club,El Ahly Cairo,Tarek Magdi,4,2,0,0,0,0,1:1 ,1:1,1,1,Draw
423,423,663,2013,Zamalek SC x Tala'ea El Gaish,15,"Thu, Apr 3, 2014",6:00 PM,Zamalek SC,Tala'ea El Gaish,Mohamed Farouk,4,4,0,0,0,0,1:1 ,1:1,1,1,Draw
424,424,664,2013,Petrojet x Wadi Degla FC,15,"Sat, Apr 5, 2014",3:30 PM,Petrojet,Wadi Degla FC,Sayed Shalaby,1,3,0,0,0,0,0:0 ,1:1,1,1,Draw
425,425,665,2013,El Shorta x Ismaily SC,15,"Sat, Apr 5, 2014",3:30 PM,El Shorta,Ismaily SC,Samir Osman,0,1,0,0,0,0,0:1 ,1:1,1,1,Draw
426,426,666,2013,El Minya FC x Telefonat Beni Suef,16,"Wed, Apr 9, 2014",3:30 PM,El Minya FC,Telefonat Beni Suef,Ahmed El Dalil,1,4,0,0,0,0,0:0 ,0:0,0,0,Draw
427,427,667,2013,Masr El Makasa x Smouha SC,16,"Thu, Apr 10, 2014",3:30 PM,Masr El Makasa,Smouha SC,Fahim Omar,3,2,0,1,0,0,2:1 ,2:3,2,3,Away
428,428,668,2013,Petrojet x Qanah FC,16,"Thu, Apr 10, 2014",3:30 PM,Petrojet,Qanah FC,Abdelaziz El Sayed,3,3,0,1,0,0,1:0 ,2:1,2,1,Home
429,429,669,2013,Entag El Harby x El Dakhlia SC,16,"Thu, Apr 10, 2014",3:30 PM,Entag El Harby,El Dakhlia SC,Walid Abdelrazak,0,0,0,0,0,0,0:0 ,0:2,0,2,Away
430,430,670,2013,El Gouna FC x Enppi Club,16,"Thu, Apr 10, 2014",3:30 PM,El Gouna FC,Enppi Club,Amin Omar,0,0,0,0,0,0,0:0 ,0:0,0,0,Draw
431,431,671,2013,Ghazl Mahalla x Arab Contractors SC,16,"Thu, Apr 10, 2014",3:30 PM,Ghazl Mahalla,Arab Contractors SC,Amr Ayed,2,1,0,0,0,0,0:0 ,0:0,0,0,Draw
432,432,672,2013,El Ahly Cairo x El Raja Marsa Matruh,16,"Thu, Apr 10, 2014",6:00 PM,El Ahly Cairo,El Raja Marsa Matruh,Mohamed Maarouf,2,3,0,1,0,0,0:0 ,3:0,3,0,Home
433,433,673,2013,Ismaily SC x Masry Port Said,16,"Sat, Apr 12, 2014",3:30 PM,Ismaily SC,Masry Port Said,tbc,2,0,0,0,0,0,1:0 ,2:0,2,0,Home
434,434,674,2013,Tala'ea El Gaish x El Shorta,16,"Sat, Apr 12, 2014",3:30 PM,Tala'ea El Gaish,El Shorta,Hesham Abdelhamid,4,0,0,0,0,0,0:0 ,0:1,0,1,Away
435,435,675,2013,Harras El Hodoud x Zamalek SC,16,"Sun, Apr 13, 2014",6:00 PM,Harras El Hodoud,Zamalek SC,Sherif Rashwan,3,3,0,0,0,0,0:0 ,0:2,0,2,Away
436,436,676,2013,El Dakhlia SC x Ittehad Alexandria,17,"Mon, Apr 14, 2014",3:30 PM,El Dakhlia SC,Ittehad Alexandria,Mohamed Sabahi,2,1,0,1,0,0,0:0 ,0:0,0,0,Draw
437,437,677,2013,Smouha SC x Entag El Harby,17,"Mon, Apr 14, 2014",3:30 PM,Smouha SC,Entag El Harby,Ashraf Rashad,1,0,0,0,0,0,0:1 ,0:2,0,2,Away
438,438,678,2013,Enppi Club x Masr El Makasa,17,"Mon, Apr 14, 2014",6:00 PM,Enppi Club,Masr El Makasa,Ahmed El Adawi,4,3,0,1,0,0,0:1 ,0:1,0,1,Away
439,439,679,2013,El Raja Marsa Matruh x El Gouna FC,17,"Tue, Apr 15, 2014",3:30 PM,El Raja Marsa Matruh,El Gouna FC,Gehad Grisha,0,0,0,0,0,0,0:0 ,1:2,1,2,Away
440,440,680,2013,El Ahly Cairo x Arab Contractors SC,17,"Tue, Apr 15, 2014",6:00 PM,El Ahly Cairo,Arab Contractors SC,Mohamed Farouk,2,3,0,0,0,0,0:0 ,1:0,1,0,Home
